Церковь Казанской иконы Божией Матери в Теплом Стане;+7 (495) 971-77-21;+7 (903) 670-70-31, +7 (963) 770-13-10, +7 (905) 500-30-43;ул. Островитянова, вл2А, Москва;kaz-hram.ru;55.648 37.484;church
Храм Живоначальной Троицы в Конькове;+7 (495) 335-17-76;+7 (916) 393-40-21, +7 (977) 423-17-78;Профсоюзная ул., 116, Москва;trinitykonkovo.ru;55.638 37.519;church
Храм в честь Иконы Божией Матери Умягчение злых сердец в Конькове;;+7 (925) 487-27-18, +7 (916) 590-71-82;Профсоюзная ул., вл67, Москва;умягчение-злых-сердец.рф;55.650 37.535;church
Храм апостола Фомы;+7 (499) 398-02-64;+7 (925) 704-23-30, +7 (926) 430-33-27;ул. Колобашкина, 1, Москва;daniilhram.ru , daniilcenter.ru;55.643 37.654;church
Храм Иконы Божией Матери Утоли моя печали в Марьино;+7 (499) 784-88-60;;Марьинский бульвар, 2;v-marino.moseparh.ru;55.648 37.747;church
Храм Рождества Пресвятой Богородицы в Капотне;;+7 (916) 555-91-98;1-й Капотнинский пр., 10, Москва;hramvkapotne.ru;55.639 37.792;church
Храм Рождества Пресвятой Богородицы в Говорово;;+7 (916) 818-40-60;деревня Говорово, 1 ст1;hram-govorovo.ru;55.655 37.435;church
Храм Преображения Господня в Старом Беляеве;+7 (495) 735-00-10;+7 (915) 366-31-95, +7 (916) 382-85-56, +7 (925) 546-08-74, +7 (916) 836-54-30, +7 (910) 471-36-51, +7 (916) 695-46-56, +7 (916) 874-38-09, +7 (968) 652-72-28, +7 (905) 648-08-64, +7 (916) 877-45-42;ул. Академика Челомея, вл3Б, Москва;svetfavora-mera.ru , svetfavora.ru , svetfavora.wix.com/y-samovara;55.658 37.523;church
Храм преподобного Иосифа Волоцкого в Старом Беляеве;;+7 (929) 991-93-73;Академика Челомея, 3Б;svetfavora.ru;55.659 37.525;church
Храм Святых Праведных Симеона Богоприимца и Анны пророчицы;;+7 (929) 637-84-20;Матушкина, 32а;hramsimeona.ru;55.663 37.565;church
Храм благоверных князей святых Бориса и Глеба в Зюзино;+7 (499) 122-84-10, +7 (499) 723-88-15, +7 (499) 723-91-29;+7 (909) 676-19-05;Перекопская ул., 7, Москва;h-bg.ru;55.659 37.580;church
