Gartallery, галерея;;+7 (968) 373-24-04;Курсовой пер., 10/1, Москва;gartallery.art;55.740 37.605;museum
Центр искусств Москва;+7 (495) 989-95-61;;ул. Волхонка, 15, Москва;artcentre.moscow;55.744 37.604;museum
In Artibus foundation;+7 (495) 640-02-49;;Пречистенская наб., 17-19, Москва;inartibus.org;55.740 37.605;museum
ГМИИ имени Пушкина, Галерея искусства стран Европы и Америки XIX – XX веков;+7 (495) 697-46-74, +7 (495) 697-74-12, +7 (495) 609-56-65, +7 (495) 609-95-20, +7 (495) 609-56-21, +7 (495) 609-56-68, +7 (495) 697-92-96, +7 (495) 695-83-46, +7 (495) 697-95-78, +7 (495) 697-69-74;+7 (985) 350-21-40;ул. Волхонка, 14, стр. 6, Москва;pushkinmuseum.art;55.747 37.605;museum
Lumiere Hall;;+7 (999) 877-10-78, +7 (999) 222-20-00;Берсеневский пер., 2, стр. 1, Москва;lumierehall.ru;55.741 37.610;museum
Выставка Ван Г.;;+7 (989) 984-70-13, +7 (915) 268-22-36;Болотная наб., 3, стр. 3, Москва;;55.740 37.610;museum
The Great Hall Yakimanka;+7 (495) 090-95-95, +7 (499) 385-99-99;+7 (916) 000-37-77;ул. Большая Якиманка, 15, Москва;thegreathallyakimanka.com;55.738 37.616;museum
Выставка Алмазный фонд Гохрана России;+7 (499) 148-91-73, +7 (499) 249-88-15, +7 (495) 629-20-36;+7 (915) 171-83-63;Кремлёвская наб., 1, стр. 3, Москва;gokhran.ru , tickets.gokhran.ru;55.750 37.614;museum
Iragui Gallery, галерея современного искусство;+7 (495) 978-32-13;;ул. Малая Полянка, 7, стр. 5, Москва;iragui.com;55.735 37.617;museum
Альбион Галерея;+7 (495) 951-90-29, +7 (495) 792-54-40;+7 (903) 763-36-46, +7 (903) 741-49-43, +7 (968) 409-72-20;Малый Толмачёвский пер., 8, стр. 2, Москва;albiongallery.ru , antik.msk.ru;55.742 37.619;museum
Государственная Третьяковская галерея Отдел рукописей;+7 (495) 957-07-48, +7 (495) 953-28-98;;Лаврушинский пер., 4, стр. 1, Москва;tretyakovgallery.ru;55.743 37.620;museum
Редакционно-издательский отдел государственной Третьяковской галереи;+7 (495) 953-66-07;;Лаврушинский пер., 3/8с2, Москва;tretyakovgallery.ru;55.744 37.621;museum
Крокин, галерея современного искусства;;+7 (964) 564-03-03;Климентовский пер., 9/1, Москва;krokingallery.ru , krokingallery.com;55.741 37.626;museum
Сцена, галерея современного искусства;;+7 (916) 202-16-13, +7 (965) 190-13-31;Пятницкая ул., 42, Москва;szena-gallery.com;55.738 37.628;museum
Ледяная пещера;+7 (495) 531-05-35, +7 (495) 531-05-00;;ул. Варварка, 6/5, Москва;zaryadyepark.ru;55.752 37.629;museum
Медиацентр;+7 (495) 531-05-26;;ул. Варварка, 6, стр. 1, Москва;zaryadyepark.ru;55.751 37.627;museum
Галерея Громовой;;+7 (915) 424-29-34;Большой Овчинниковский пер., 24, стр. 1, Москва;elenagromova.com;55.744 37.629;museum
Галерея-мастерская художника Лизунова П.;;+7 (926) 748-17-50;Пятницкая ул., 43, стр. 3, Москва;petrlizunov.com;55.737 37.629;museum
Арт.Ру, художественное агентство;;+7 (977) 807-97-20;Озерковская наб., 26, Москва;agencyart.ru;55.740 37.637;museum
tArt studio;+7 (495) 260-11-07;;Малый Дровяной пер., 6, Москва;s-tart.ru;55.746 37.658;museum
Выставочный зал Сахаровского центра;+7 (495) 623-44-01;;ул. Земляной Вал, 57, стр. 5, Москва;sakharov-center.ru;55.751 37.658;museum
